city_name,country,country_iso3,population
Tokyo,Japan,JPN,37732000
Jakarta,Indonesia,IDN,33756000
Delhi,India,IND,32226000
Guangzhou,China,CHN,26940000
Mumbai,India,IND,24973000
Manila,Philippines,PHL,24922000
Shanghai,China,CHN,24073000
Sao Paulo,Brazil,BRA,23086000
Seoul,South Korea,KOR,23016000
Mexico City,Mexico,MEX,21804000
Cairo,Egypt,EGY,20296000
New York,United States,USA,18972871
Dhaka,Bangladesh,BGD,18627000
Beijing,China,CHN,18522000
Kolkata,India,IND,18502000
Bangkok,Thailand,THA,18007000
Shenzhen,China,CHN,17619000
Moscow,Russia,RUS,17332000
Buenos Aires,Argentina,ARG,16710000
Lagos,Nigeria,NGA,16637000
Istanbul,Turkey,TUR,16079000
Karachi,Pakistan,PAK,15738000
Bangalore,India,IND,15386000
Ho Chi Minh City,Vietnam,VNM,15136000
Osaka,Japan,JPN,15126000
Chengdu,China,CHN,14645000
Tehran,Iran,IRN,14148000
Kinshasa,Congo,COD,12836000
Rio de Janeiro,Brazil,BRA,12592000
Chennai,India,IND,12395000
Xi'an,China,CHN,12328000
Lahore,Pakistan,PAK,12306000
Chongqing,China,CHN,12135000
Los Angeles,United States,USA,12121244
Baoding,China,CHN,11860000
London,United Kingdom,GBR,11262000
Paris,France,FRA,11060000
Linyi,China,CHN,11018365
Dongguan,China,CHN,10646000
Hyderabad,India,IND,10494000
Tianjin,China,CHN,10368000
Lima,Peru,PER,10320000
Wuhan,China,CHN,10251000
Nanyang,China,CHN,10013600
Hangzhou,China,CHN,9523000
Foshan,China,CHN,9498863
Nagoya,Japan,JPN,9197000
Taipei,Taiwan,TWN,9078000
Tongshan,China,CHN,9083790
Luanda,Angola,AGO,9051000
Zhoukou,China,CHN,9026015
Ganzhou,China,CHN,8970014
Kuala Lumpur,Malaysia,MYS,8911000
Heze,China,CHN,8795939
Quanzhou,China,CHN,8782285
Chicago,United States,USA,8595181
Nanjing,China,CHN,8422000
Jining,China,CHN,8357897
Hanoi,Vietnam,VNM,8246600
Pune,India,IND,8231000
Fuyang,China,CHN,8200264
Ahmedabad,India,IND,8009000
Johannesburg,South Africa,ZAF,8000000
Bogota,Colombia,COL,7968095
Dar es Salaam,Tanzania,TZA,7962000
Shenyang,China,CHN,7964000
Khartoum,Sudan,SDN,7869000
Shangqiu,China,CHN,7816831
Cangzhou,China,CHN,7544300
Hong Kong,Hong Kong,HKG,7450000
Shaoyang,China,CHN,7370500
Zhanjiang,China,CHN,7332000
Yancheng,China,CHN,7260240
Hengyang,China,CHN,7243400
Riyadh,Saudi Arabia,SAU,7237000
Zhumadian,China,CHN,7231234
Santiago,Chile,CHL,7171000
Xingtai,China,CHN,7111106
Chattogram,Bangladesh,BGD,7000000
Bijie,China,CHN,6899636
Shangrao,China,CHN,6810700
Zunyi,China,CHN,6606675
Surat,India,IND,6538000
Surabaya,Indonesia,IDN,6499000
Huanggang,China,CHN,6333000
Maoming,China,CHN,6313200
Nanchong,China,CHN,6278614
Xinyang,China,CHN,6234401
Madrid,Spain,ESP,6211000
Baghdad,Iraq,IRQ,6183000
Qujing,China,CHN,6155400
Jieyang,China,CHN,6089400
Singapore,Singapore,SGP,5983000
Prayagraj,India,IND,5954391
Liaocheng,China,CHN,5952128
Dalian,China,CHN,5871474
Yulin,China,CHN,5849700
Changde,China,CHN,5827200
Qingdao,China,CHN,5818255
Douala,Cameroon,CMR,5768400
Miami,United States,USA,5711945
Nangandao,China,CHN,5708191
Pudong,China,CHN,5681512
Xiangyang,China,CHN,5680000
Dallas,United States,USA,5668165
Houston,United States,USA,5650910
Zhengzhou,China,CHN,5621593
Lu'an,China,CHN,5611701
Dezhou,China,CHN,5611194
Jinan,China,CHN,5606374
Giza,Egypt,EGY,5598402
Zhaotong,China,CHN,5591000
Yichun,China,CHN,5573200
Nairobi,Kenya,KEN,5545000
Guadalajara,Mexico,MEX,5525000
Philadelphia,United States,USA,5512873
Ankara,Turkey,TUR,5503985
Tai'an,China,CHN,5494207
Dazhou,China,CHN,5468097
Langfang,China,CHN,5464087
Yongzhou,China,CHN,5452100
Toronto,Canada,CAN,5429524
Suihua,China,CHN,5418153
Saint Petersburg,Russia,RUS,5384342
Qiqihar,China,CHN,5367003
Suzhou,China,CHN,5352924
Monterrey,Mexico,MEX,5341171
Belo Horizonte,Brazil,BRA,5328000
Weinan,China,CHN,5286077
Rangoon,Myanmar,MMR,5209541
Zhangzhou,China,CHN,5140000
Yuncheng,China,CHN,5134779
Xianyang,China,CHN,5096001
Guilin,China,CHN,5085500
Atlanta,United States,USA,5046555
Taizhou,China,CHN,5031000
