iso3,phone_code,Region Name
AFG,93,Asia
ALB,355,Europe
ALG,213,Africa
ASA,1-684,Oceania
AND,376,Europe
ANG,244,Africa
AIA,1-264,Americas
ROS,672,Antarctica
ATG,1-268,Americas
ARG,54,Americas
ARM,374,Asia
ARU,297,Americas
AUS,61,Oceania
AUT,43,Europe
AZE,994,Asia
BAH,1-242,Americas
BHR,973,Asia
BAN,880,Asia
BRB,1-246,Americas
BLR,375,Europe
BEL,32,Europe
BLZ,501,Americas
BEN,229,Africa
BER,1-441,Americas
BHU,975,Asia
BOL,591,Americas
ANT,599,Americas
BIH,387,Europe
BOT,267,Africa
BRA,55,Americas
VGB,1-284,Americas
BRU,673,Asia
BUL,359,Europe
BFA,226,Africa
BDI,257,Africa
CPV,238,Africa
CAM,855,Asia
CMR,237,Africa
CAN,1,Americas
CAY,1-345,Americas
CTA,236,Africa
CHA,235,Africa
CHI,56,Americas
CHN,86,Asia
HKG,852,Asia
MAC,853,Asia
CXR,61,Oceania
CCK,61,Oceania
COL,57,Americas
COM,269,Africa
CGO,242,Africa
COK,682,Oceania
CRC,506,Americas
CRO,385,Europe
CUB,53,Americas
CYP,357,Asia
CZE,420,Europe
CIV,225,Africa
PRK,850,Asia
COD,243,Africa
DEN,45,Europe
DJI,253,Africa
DMA,1-767,Americas
DOM,1,Americas
ECU,593,Americas
EGY,20,Africa
SLV,503,Americas
EQG,240,Africa
ERI,291,Africa
EST,372,Europe
SWZ,268,Africa
ETH,251,Africa
FLK,500,Americas
FRO,298,Europe
FIJ,679,Oceania
FIN,358,Europe
FRA,33,Europe
GUF,594,Americas
TAH,689,Oceania
GAB,241,Africa
GAM,220,Africa
GEO,995,Asia
GER,49,Europe
GHA,233,Africa
GBZ,350,Europe
GRE,30,Europe
GRL,299,Americas
GRN,1-473,Americas
GLP,590,Americas
GUM,1-671,Oceania
GUA,502,Americas
GBG,44,Europe
GUI,224,Africa
GNB,245,Africa
GUY,592,Americas
HAI,509,Americas
VAT,39-06,Europe
HON,504,Americas
HUN,36,Europe
ISL,354,Europe
IND,91,Asia
IDN,62,Asia
IRN,98,Asia
IRQ,964,Asia
IRL,353,Europe
GBM,44,Europe
ISR,972,Asia
ITA,39,Europe
JAM,1-876,Americas
JPN,81,Asia
GBJ,44,Europe
JOR,962,Asia
KAZ,7,Asia
KEN,254,Africa
KIR,686,Oceania
KUW,965,Asia
KGZ,996,Asia
LAO,856,Asia
LVA,371,Europe
LIB,961,Asia
LES,266,Africa
LBR,231,Africa
LBY,218,Africa
LIE,423,Europe
LTU,370,Europe
LUX,352,Europe
MAD,261,Africa
MWI,265,Africa
MAS,60,Asia
MDV,960,Asia
MLI,223,Africa
MLT,356,Europe
MHL,692,Oceania
MTQ,596,Americas
MTN,222,Africa
MRI,230,Africa
MYT,262,Africa
MEX,52,Americas
FSM,691,Oceania
MON,377,Europe
MNG,976,Asia
MNE,382,Europe
MSR,1-664,Americas
MAR,212,Africa
MOZ,258,Africa
MYA,95,Asia
NAM,264,Africa
NRU,674,Oceania
NEP,977,Asia
NED,31,Europe
NCL,687,Oceania
NZL,64,Oceania
NCA,505,Americas
NIG,227,Africa
NGA,234,Africa
NIU,683,Oceania
NFK,672,Oceania
NMI,1-670,Oceania
NOR,47,Europe
OMA,968,Asia
PAK,92,Asia
PLW,680,Oceania
PAN,507,Americas
PNG,675,Oceania
PAR,595,Americas
PER,51,Americas
PHI,63,Asia
PCN,870,Oceania
POL,48,Europe
POR,351,Europe
PUR,1,Americas
QAT,974,Asia
KOR,82,Asia
MDA,373,Europe
ROU,40,Europe
RUS,7,Europe
RWA,250,Africa
REU,262,Africa
 ,590,Americas
SHN,290,Africa
SKN,1-869,Americas
LCA,1-758,Americas
 ,590,Americas
SPM,508,Americas
VIN,1-784,Americas
SAM,685,Oceania
SMR,378,Europe
STP,239,Africa
KSA,966,Asia
SEN,221,Africa
SRB,381,Europe
SEY,248,Africa
SLE,232,Africa
SIN,65,Asia
SVK,421,Europe
SVN,386,Europe
SOL,677,Oceania
SOM,252,Africa
RSA,27,Africa
ESP,34,Europe
SRI,94,Asia
PLE,970,Asia
SUD,249,Africa
SUR,597,Americas
SWE,46,Europe
SUI,41,Europe
SYR,963,Asia
TJK,992,Asia
THA,66,Asia
MKD,389,Europe
TLS,670,Asia
TOG,228,Africa
TKL,690,Oceania
TGA,676,Oceania
TRI,1-868,Americas
TUN,216,Africa
TUR,90,Asia
TKM,993,Asia
TCA,1-649,Americas
TUV,688,Oceania
UGA,256,Africa
UKR,380,Europe
UAE,971,Asia
ENG,44,Europe
NIR,44,Europe
SCO,44,Europe
WAL,44,Europe
TAN,255,Africa
VIR,1-340,Americas
USA,1,Americas
URU,598,Americas
UZB,998,Asia
VAN,678,Oceania
VEN,58,Americas
VIE,84,Asia
WLF,681,Oceania
SAH,212,Africa
YEM,967,Asia
ZAM,260,Africa
ZIM,263,Africa
ALD,358,Europe
